
2025/02/11 (03:49:40) | ===> btop++ v.1.4.0
2025/02/11 (03:49:40) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/11 (03:50:50) | ===> btop++ v.1.4.0
2025/02/11 (03:50:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (05:21:59) | ===> btop++ v.1.4.0
2025/02/11 (05:21:59) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/11 (05:22:23) | ===> btop++ v.1.4.0
2025/02/11 (05:22:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/11 (05:22:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (05:22:57) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (07:03:13) | ===> btop++ v.1.4.0
2025/02/11 (07:03:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:23:06) | ===> btop++ v.1.4.0
2025/03/06 (03:23:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:23:06) | ===> btop++ v.1.4.0
2025/03/06 (03:23:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:23:37) | ===> btop++ v.1.4.0
2025/03/06 (03:23:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:23:37) | ===> btop++ v.1.4.0
2025/03/06 (03:23:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:29:36) | ===> btop++ v.1.4.0
2025/03/06 (03:29:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:29:36) | ===> btop++ v.1.4.0
2025/03/06 (03:29:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:54:35) | ===> btop++ v.1.4.0
2025/03/06 (03:54:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (03:58:36) | ===> btop++ v.1.4.0
2025/03/06 (03:58:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/06 (06:51:13) | ===> btop++ v.1.4.0
2025/03/06 (06:51:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/16 (22:59:19) | ===> btop++ v.1.4.0
2025/03/16 (22:59:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/16 (23:33:10) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (23:54:35) | ===> btop++ v.1.4.0
2025/03/24 (23:54:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (23:54:38) | WARNING: Failed to join _runner thread on exit!

